loss,simulation_number
7.60486332677507e-19,1
750586.414076583,2
1.4150663028072679e-52,3
1.3291388925952047e-49,4
3.683039150824067e-58,5
4.9548386063691804e-26,6
3.189175888742076e-64,7
25.725702054189828,8
4.411467598697836e-166,9
6.012355751188499e-44,10
5626767.456306277,11
0.001560277821774026,12
2.1355899771394896e-101,13
4.674550802679604e-31,14
7.829313845333538,15
1.48751313963201e-43,16
6.894336072813124e-135,17
1.3728507192474183e-41,18
3.9788836563374165e-35,19
1.370562380527766e-50,20
1.0278689338507254e-65,21
9.438750978318553e-20,22
2.935071839108548e-42,23
7995830.740969964,24
5.677704316519215e-96,25
2.2304988192644071e-125,26
2.629100427577115e-29,27
1.4845684635288625e-78,28
4.837325670508397e-28,29
1.2842255448651563e-75,30
1.1885762326810918e-194,31
2.484128682005207e-48,32
3.835586905927203e-20,33
0.010618244929287984,34
2.544537115278972e-65,35
1.0670095917347445e-159,36
1.223032041144351e-31,37
0.0021825512666967853,38
7999999.671842155,39
0.013409405976545176,40
9.977769069260624e-36,41
6.076940914239293e-41,42
2.5553244690304127e-10,43
1.743068916749549e-14,44
1.1352333366686565e-23,45
7999962.922003064,46
1.1045712420885195e-156,47
6.96892063574818e-51,48
8.534855493370184e-48,49
7.230878002698355e-34,50
1.9042682360645353e-42,51
48663.658811739006,52
7.229252600228971e-27,53
1.0047515458956662e-16,54
1.2827495304941321e-14,55
1.0890586982564645e-62,56
204.24293915676512,57
5.8643704543679466e-34,58
8.027433706787178e-36,59
1.8471232258409578e-36,60
9.076901976317162e-12,61
5.032794542303229e-08,62
4.117961758025424e-90,63
6.9133274596468e-16,64
1.265832260463538e-80,65
1.7879150978245642e-05,66
436.88587748695363,67
1.892469612677498e-13,68
4.0524122296848077e-84,69
8.818038112913597e-23,70
1.0164869294101598e-43,71
11.96141225053127,72
115292.1170649064,73
2.9031856631652214e-61,74
2.817478531017688e-37,75
3.5491727256973923e-62,76
2.017744517185681e-19,77
7999999.980608415,78
2.0766625350487465e-37,79
1.7319782966207377e-18,80
5.738556134797316e-40,81
64783.46865735908,82
9.926314693078162e-41,83
3.030334058618634e-64,84
6.530528054850848e-07,85
9.989143673814286e-32,86
3.8446213292417945e-103,87
2.8175817606818176e-52,88
4.104307551398044e-19,89
2.124552321837411e-175,90
7.34526343373128e-16,91
49347.18124088807,92
1.220138290556112e-141,93
1.3420633875555262e-05,94
2.4386587782605306e-46,95
2.9591813397418538e-09,96
6273.416539315658,97
5.096804917796524e-25,98
9.853536662235965e-216,99
1.1632594506875717,100
1.278688277131108e-127,101
0.2042227387557438,102
1.8060698174948326e-25,103
5.168070325527302e-10,104
3.857741519578323e-119,105
0.033588842863133565,106
1.589820440680472,107
4.832440423106128e-13,108
2.46374822849466e-109,109
6.462855759989011e-162,110
4.232978847190215e-27,111
42.95621721604761,112
4.974263095098507e-27,113
1.5450847710144946e-09,114
7999999.851783966,115
111350.0570547345,116
4.9668207740700915e-53,117
19.564657895000327,118
9.617455562950373e-45,119
2.172953405056704e-133,120
2235728.7843335196,121
2.2760054547125424e-188,122
3.9770878869259315e-84,123
1.4601476438028275e-20,124
1.1459918615158792e-58,125
1.564014463150542e-11,126
5.122354282662817e-57,127
1.508272696788523e-80,128
1.0463503024515144e-20,129
5.1903048315915475e-49,130
2.3169383288770922e-40,131
7999998.32102638,132
4.986628815017508,133
2.6255124352409433e-207,134
1479467.4679291465,135
7999975.051530832,136
8.332505188960765e-58,137
1.2573567310206797e-09,138
7942204.158136187,139
7.042800857763292e-34,140
1.366849929030887e-20,141
5.01864771583848e-31,142
4.0745403285875093e-08,143
4.333997096146995e-12,144
2.0201554698676473e-28,145
413111.2747899886,146
9.704547636766861e-13,147
5.238749291880287e-52,148
2.046001192955629,149
1.3702645697998124e-61,150
1.1889484325947067e-16,151
7999999.94869754,152
6.263443821391468e-05,153
1437524.2396829885,154
2.9400903270923975e-32,155
4.4971507490916706e-11,156
4.473181503388819e-75,157
3.7911510220628807e-44,158
2.3459904626871145e-32,159
3.4045257919571443e-252,160
6.314315543029026e-129,161
1682.9660789414067,162
7999999.999625167,163
2352776.4334299373,164
0.03178197590016085,165
0.00042244353500187846,166
7999999.999881785,167
4.58385888232148e-09,168
2.4533140245465513e-29,169
2.1401195122407727e-67,170
5998333.767657073,171
4.098718436656486e-07,172
2.9309500021589674e-12,173
4.670961284980776e-96,174
5.370246996044566e-97,175
1.3020405937057314e-27,176
1.1802041094605202e-151,177
4.675705499884118e-106,178
2.192314448178719e-62,179
7.925583687248456e-64,180
58018.84887110652,181
5.195496970352523e-18,182
2.390457670625732e-89,183
3.8435607764360286e-88,184
39288.68604402435,185
2.5406088446714466e-18,186
1.1687941363992292e-87,187
9.104651579778704e-50,188
3.5895580799568655e-69,189
2.570118414072096e-07,190
5037643.587901972,191
2.1798917944168377e-43,192
11191.323837916305,193
0.0021164764383063885,194
2433289.2770612203,195
0.08178074717707247,196
7234415.300687466,197
3742646.801736155,198
8.670795643450203e-51,199
8.804828411014999e-16,200
4.484410289964345,201
7.283645701833046e-67,202
244.08072243660123,203
4.2999867659127674e-159,204
1.4291280682697678e-08,205
7.375710254522939e-38,206
3.569323668573182e-15,207
0.0009981703810226907,208
5059.335699056685,209
9.752739459221004e-18,210
7.396368336427274e-33,211
6.14500307346614e-68,212
1.5287967910241304e-07,213
4.0771094377336597e-56,214
525549.3863919696,215
3.424431970754651e-58,216
7999997.81333935,217
2.3985122539723292e-64,218
7999220.683269591,219
7999999.999999999,220
2.075773306484977e-288,221
568.7714882843105,222
5.615741545323785e-18,223
3.01609426513201e-88,224
2.739143570979683e-07,225
7999998.601107808,226
0.1733639490711398,227
2.0607712814505794e-42,228
6.678139001335549e-21,229
3.221690004362891e-05,230
6.599898494904714e-79,231
2865113.652210386,232
0.10011095892567401,233
1.7809749743033993e-12,234
9.585111499796406e-06,235
6.115553866414534e-17,236
18.887682730131516,237
4.986801613847067e-50,238
4.564602001610737e-51,239
4.752084750043014e-101,240
1807.984128931906,241
12.531558483806462,242
2.1653815566580163e-06,243
5.080504330591398e-42,244
278499.28048267175,245
9.89895003702998e-58,246
7999683.387929011,247
7.877993538956173e-07,248
1.6840766533191766e-80,249
3.9645106127014463e-131,250
2.841927345562864e-15,251
8.047434814119305e-75,252
1.865094101008319e-63,253
2.0313134070803813e-08,254
1068244.529974618,255
2.3422647363936287e-76,256
8.339255122694507e-80,257
3.650610954372801e-90,258
3.7658033129049966,259
2.1029463440784242e-36,260
1.877975376429013e-18,261
1.098376356546989e-24,262
3.9494357058242575e-104,263
162.10538642958932,264
7999924.070866478,265
4.5187282112808515e-65,266
2.0843879550071877e-08,267
1.6476803972568762e-68,268
1.2419754595614125e-77,269
4.0880761303188534e-40,270
6.386464055853404e-66,271
1.9034004949172572e-14,272
1.9049883499202796e-09,273
7520722.101669689,274
51.364330268757165,275
1.3025153988997196e-81,276
5.477132902611641e-17,277
1.4217638872298942e-32,278
2.7427123204992828e-126,279
2.9754833187165535e-21,280
7888314.343490596,281
109.5873437546021,282
2.7935355159297864e-70,283
7999999.999999994,284
72413.09195042687,285
1.8869468870794034e-16,286
9.764944229397887e-40,287
1.1011990724689665e-74,288
6.610210796296194e-34,289
6810086.830992267,290
2.879651437255743e-40,291
6.962721807043445e-48,292
914249.6941434476,293
16.924918101943188,294
9.726544800126532e-29,295
9.371634674770332e-39,296
1.7455194358484601e-119,297
6.055482701426619e-23,298
2609.798668645567,299
2.9784861748931094e-30,300
5.179798360613142e-16,301
2.6180988324879955e-64,302
7999999.999999995,303
0.0021055787764899846,304
1.4025778981115903e-10,305
7997266.756587693,306
1.758088215386417e-36,307
8.076199862642292e-96,308
1.1698774007793924e-27,309
0.00022742913020592332,310
4.026738395326346e-21,311
5.525316484094207e-19,312
2.5091945325265084e-188,313
1.2493881687830348e-11,314
1.4204201256149626e-93,315
1.048959044260753e-69,316
2.050693915285992e-109,317
9.673784090951035e-21,318
0.0016057201108798454,319
7.482764643078036e-38,320
5.489214377893666e-10,321
7999999.984766324,322
1.1446571410236642e-82,323
0.5263149375831155,324
5.645254648900125e-43,325
1.6773317591542245e-06,326
4.3628395378203995e-99,327
7999999.999999999,328
1.391873004047113e-20,329
3.0627370817381015e-61,330
7994700.255749465,331
1.3665617278123392e-65,332
1.5107647084216857e-68,333
985.9024537785037,334
8.670707547214553e-37,335
1.7496274709743726e-77,336
8.301853597881482e-11,337
5.024109625084172e-22,338
0.008752958654358453,339
3.04933250647577e-38,340
3.59000776966528e-20,341
3.9840300012285734e-35,342
1.896060393247305e-309,343
8.616934566052074e-22,344
1.6594249238001487e-108,345
1.4657502789363562e-16,346
10.08771653378776,347
4.186841401301455e-16,348
1.671814866424222e-10,349
0.0023611467569631347,350
7999336.328601679,351
1.6510576302666053e-08,352
2.171479416092625e-12,353
9.193187629895841e-12,354
1.181023007514342e-93,355
5.261407484071985e-25,356
7995455.565563001,357
7999999.99992053,358
0.40953346595139123,359
7336637.583311643,360
1.862321942095637e-85,361
9.872878091059391e-92,362
7999999.999999178,363
7999999.787985826,364
7999999.994869634,365
7.801882613753915e-27,366
1.3875417206297307e-34,367
1.6873911665411843e-17,368
7645531.080849285,369
7999666.831141269,370
1.639588407643798e-26,371
73682.21185171335,372
9336.708631558771,373
1.0404853309747375e-90,374
317577.6792786598,375
2.0733353608272792e-30,376
2.968718713667284e-33,377
0.2039825382401439,378
1.5578054285282957e-57,379
132.4668941306986,380
1.4040533025795992e-43,381
2.100956207290314e-09,382
7.677495237861741e-56,383
655041.5143808598,384
0.001489492217270723,385
2.0271020944796252e-07,386
1.0467437176379944e-68,387
9.952602541282362e-06,388
6.307664814211894e-13,389
6.17913875884017e-29,390
5.0199096783157266e-11,391
1.8240693246878586e-88,392
1.4910229879976435e-32,393
5.781565321810657e-29,394
7999999.999999772,395
7.139135268449358e-16,396
6.346850413878945e-126,397
4.393155535953332e-188,398
1.6207877392687613,399
2.1505143268626072e-23,400
7997417.6103690835,401
6814518.247883633,402
8.073925693985235e-49,403
4.847802660297672e-14,404
2.205083093715592e-66,405
3.4528063437995634e-20,406
6.542636996035486e-44,407
2.290080143063409e-11,408
312.81583995745683,409
2.1859870051305882e-33,410
7998246.847192938,411
5.207973925199284e-27,412
3.942878176255673e-112,413
1.2532447449928656e-16,414
6.154813400255396e-72,415
4.977253900638037e-79,416
7.295683574507211e-76,417
8.9701229536595e-07,418
1264.403737513967,419
6.288086772727252e-11,420
2.79091987902923e-97,421
0.0003844834346769719,422
0.0012049134225527829,423
3.8759690996360264e-190,424
7.235315840225556e-33,425
2.0428330607951876e-10,426
1.8060743251285124e-46,427
2.927688505201601e-17,428
3.3265932017371213e-79,429
0.006267552995616037,430
5.089524013418286e-29,431
4.196169985273547e-06,432
2.9434318432026955e-64,433
2.804548762959574e-21,434
6850646.715549613,435
7999999.987783862,436
0.06929092629268774,437
1827.952962926934,438
5.206598814711868e-12,439
1.6849214777035117e-35,440
1.917837477020158e-65,441
217.6842524289612,442
51990.21389055472,443
7999999.98085314,444
8000000.0,445
1.4780009800422017e-12,446
7999999.948490712,447
0.10966460966249236,448
3.6782071979792887e-205,449
6.26105537560012e-55,450
4.279280289272588e-91,451
7999956.693352584,452
0.5704410277169623,453
5.0435166411054963e-113,454
5.904724678571593e-81,455
113.76058159394472,456
1.7467450978102832e-35,457
2.5890980720261037e-65,458
1.9186371712599473e-49,459
497902.6526288712,460
5.146291617744112e-45,461
4.249323058240048e-49,462
51.01837496503455,463
1.3284189340858205e-58,464
9.506972885757113e-67,465
6.638851991550223e-128,466
3.305016393239756e-28,467
7999994.823081273,468
0.033009626366866336,469
63.85133552001217,470
1.5620977469686497e-08,471
1.556097626279776e-34,472
847.8832003988158,473
7999999.999971288,474
3.171795922184517e-100,475
