loss,simulation_number
461565.33307336725,1
0.0029016702918730347,2
8.113210736971908,3
1281538.9924277703,4
47082.26356621299,5
4433660.342658323,6
1277050.2717106014,7
2568.7768903335977,8
731299.9004836337,9
11861.690672130204,10
568762.4940802172,11
53184.06871893988,12
2502043.470478562,13
743182.7000633504,14
823315.9219767997,15
89358.14421917021,16
1149936.2028223204,17
1273.049806505288,18
0.2532628566382958,19
672312.1425689867,20
46871.470878260356,21
48382.15016849273,22
4126.049841398381,23
184990.55187423195,24
5045384.548022511,25
1196973.6431748366,26
517974.11248477997,27
291.581672729646,28
1023764.6549826557,29
143.22440808213773,30
0.02997806121333671,31
360012.8361543205,32
0.5884586765076274,33
1219033.6265727088,34
4.208519534253378e-05,35
11067.690827533894,36
4096105.559341599,37
1728645.0128880742,38
535871.7589413114,39
8.9584988991846e-08,40
36067.49394018851,41
1027.0391741274298,42
67.6758925726624,43
679199.3756497914,44
58533.849640496665,45
11778.698847154641,46
3329.1092920548904,47
332.42758728835605,48
397096.8302542874,49
3404.836401827702,50
21421.565230577526,51
141158.02344593877,52
340495.37825554796,53
189248.8100415725,54
176736.92709032478,55
1.4627507214077937,56
167.00026119605835,57
4768.39285108951,58
1597479.7112237455,59
482496.7763655515,60
610799.1307074417,61
0.7733138291183802,62
0.0009890211500029231,63
243.06954587575174,64
81507.44897932872,65
1698589.4687490491,66
2.0868197472081396,67
230192.29077801463,68
546.0635241384505,69
17073.865098073977,70
8428.53719136497,71
4662072.566556291,72
999.3341810920641,73
66969.8406329235,74
320031.7874527682,75
8.44504763417858,76
7119.5907431079395,77
1691429.0255589664,78
64183.27741681543,79
5043967.017121843,80
295.43344884876825,81
5524088.798342339,82
313642.04733422346,83
353065.7519591975,84
19159.507054601083,85
125082.99165924633,86
94636.434487883,87
107481.63281126934,88
1201266.450876025,89
32129.01277985754,90
0.2623915040255023,91
1091842.9913526988,92
281330.50238186255,93
0.3999513713774169,94
808301.441602279,95
29719.458769730718,96
1752912.9582034117,97
6054.338767626273,98
944.5951055167723,99
1254868.0520527624,100
1051.6274178398194,101
23.914161890534412,102
2052.0521973569485,103
5163.4235288139025,104
3112.623235096498,105
525065.9922902606,106
20005.961197257562,107
1476.482398002153,108
476177.99559851637,109
620484.9757664457,110
475329.7453621488,111
586518.0781360916,112
0.8023909823795715,113
15888.518705461935,114
468091.2236600833,115
2016.5784357853408,116
12661.898648510418,117
1282047.3375607457,118
913215.1578939026,119
2368.4633794552656,120
3134.1448566742056,121
2965.266718001095,122
8346.527438366518,123
49616.4598646768,124
126869.16707186421,125
86079.02822881883,126
271921.9141317554,127
343121.9233060842,128
3327.1132470889393,129
241761.28816484375,130
0.12470074175788716,131
457.29217185707665,132
0.7272258623843451,133
545373.2406164111,134
289921.79109362495,135
423548.3753680006,136
1123964.9316046,137
1575077.5682245586,138
4.296017568280944,139
252048.24611881253,140
131.39459092168704,141
128581.38400874771,142
17065.165134605653,143
993640.042529061,144
87899.42376988055,145
0.6496528655489207,146
5.155965678447699,147
2828.1073472718836,148
597862.6422096224,149
354177.92649436125,150
59721.09206915787,151
1119.7309883911917,152
182676.26237465173,153
3432.9416558701323,154
393.61390237718535,155
496.4694506712195,156
1154211.1499553039,157
382.98655297798365,158
5402569.983262425,159
67866.78746319184,160
22.92087361800014,161
156196.2533342344,162
169976.35574183465,163
844047.2890434604,164
0.0002278795050048045,165
4583093.338691792,166
2700108.325468401,167
3034668.332653062,168
52210.08514075194,169
99258.13504695613,170
46442.027045722316,171
108516.43755418477,172
846681.2029928662,173
0.006087254594449144,174
1653.0186394822924,175
599494.546516849,176
2854.15675182739,177
1148.206735918337,178
1877582.5869047607,179
645.7345920717241,180
706554.166384857,181
159027.2512936418,182
1717109.4496919322,183
1271.8876933528375,184
2854.0169832384,185
9331.611043732673,186
992289.596645966,187
15.385344074724719,188
3238592.013142575,189
64907.00427971697,190
313182.6038807885,191
7520.511022565896,192
2342.718790356279,193
3380.5549994920075,194
0.8977832282633642,195
1.8275365540253878,196
18393.254907070434,197
437601.9587597214,198
103699.92166696611,199
2062124.2092776287,200
1326376.317222027,201
122547.97443195086,202
419219.20049321913,203
870689.5442449407,204
2601578.8380437805,205
358338.8756139057,206
291871.7670153755,207
2214256.211731174,208
70994.07807318392,209
982013.3042849723,210
8482.727776964006,211
19108.767676915297,212
216060.56249264232,213
2870.182928540326,214
12689.982130798033,215
683495.3900863095,216
512281.705779737,217
186762.20718029994,218
62804.59400175791,219
394258.2771805493,220
1234233.204717954,221
11833.605697325125,222
509858.63507579314,223
843980.5264321248,224
1591821.861704302,225
183238.0282471605,226
2929.636422165258,227
0.05576412883165175,228
11.025469594306946,229
1688232.087400356,230
4654.4538340131085,231
267618.9074743024,232
124424.47497339547,233
1094195.0572340924,234
202825.13932448594,235
49424.76896960897,236
2442.6199222221653,237
10588.91627749885,238
26823.127609626008,239
11446.27446688583,240
106900.69350872304,241
290983.3366304626,242
283.4996830743424,243
